l_m,l_nm,lambda_hz,powerlaw_fit_hz,residual_log10,is_peak
5.241298e-08,52.4130,2.318174e+02,4.338432e+01,0.727813,0
5.314359e-08,53.1436,2.383253e+02,4.408960e+01,0.732834,0
5.388438e-08,53.8844,2.450158e+02,4.480634e+01,0.737855,0
5.463550e-08,54.6355,2.518942e+02,4.553473e+01,0.742875,0
5.539709e-08,55.3971,2.589657e+02,4.627497e+01,0.747896,0
5.616930e-08,56.1693,2.662357e+02,4.702723e+01,0.752917,0
5.695227e-08,56.9523,2.737098e+02,4.779173e+01,0.757938,0
5.774615e-08,57.7462,2.813937e+02,4.856866e+01,0.762958,0
5.855110e-08,58.5511,2.892933e+02,4.935821e+01,0.767979,0
5.936727e-08,59.3673,2.974147e+02,5.016060e+01,0.773000,0
6.019482e-08,60.1948,3.057641e+02,5.097604e+01,0.778020,0
6.103390e-08,61.0339,3.143479e+02,5.180473e+01,0.783041,0
6.188468e-08,61.8847,3.231727e+02,5.264689e+01,0.788062,0
6.274732e-08,62.7473,3.322452e+02,5.350274e+01,0.793083,0
6.362198e-08,63.6220,3.415724e+02,5.437251e+01,0.798103,0
6.450884e-08,64.5088,3.511614e+02,5.525641e+01,0.803124,0
6.540806e-08,65.4081,3.610196e+02,5.615469e+01,0.808145,0
6.631981e-08,66.3198,3.711546e+02,5.706756e+01,0.813166,0
6.724427e-08,67.2443,3.815741e+02,5.799528e+01,0.818186,0
6.818162e-08,68.1816,3.922861e+02,5.893808e+01,0.823207,0
6.913204e-08,69.1320,4.032989e+02,5.989621e+01,0.828228,0
7.009570e-08,70.0957,4.146208e+02,6.086991e+01,0.833248,0
7.107280e-08,71.0728,4.262605e+02,6.185944e+01,0.838269,0
7.206351e-08,72.0635,4.382270e+02,6.286505e+01,0.843290,0
7.306804e-08,73.0680,4.505295e+02,6.388702e+01,0.848311,0
7.408657e-08,74.0866,4.631773e+02,6.492559e+01,0.853331,0
7.511929e-08,75.1193,4.761802e+02,6.598106e+01,0.858352,0
7.616642e-08,76.1664,4.895481e+02,6.705367e+01,0.863373,0
7.722814e-08,77.2281,5.032913e+02,6.814373e+01,0.868393,0
7.830465e-08,78.3047,5.174203e+02,6.925151e+01,0.873414,0
7.939618e-08,79.3962,5.319459e+02,7.037729e+01,0.878435,0
